" Date","AGN Open","AGN Low","AGN High","AGN Close","AGN Adj. Close"
12-30-2015,"295.96 ","295.22 ","299.86 ","315.06 ","297.57 "
12-29-2015,"293.15 ","292.40 ","297.68 ","314.49 ","297.03 "
12-28-2015,"293.63 ","291.56 ","293.89 ","308.88 ","291.73 "
12-24-2015,"292.79 ","292.47 ","295.07 ","311.23 ","293.95 "
12-23-2015,"294.45 ","293.18 ","296.06 ","310.57 ","293.33 "
12-22-2015,"293.67 ","291.57 ","294.42 ","310.59 ","293.35 "
12-21-2015,"291.60 ","289.40 ","293.38 ","309.92 ","292.72 "
12-18-2015,"291.67 ","288.82 ","294.34 ","306.58 ","289.56 "
12-17-2015,"291.87 ","290.74 ","295.90 ","309.51 ","292.33 "
12-16-2015,"289.42 ","287.14 ","292.67 ","309.07 ","291.91 "
12-15-2015,"288.19 ","287.71 ","292.79 ","304.66 ","287.75 "
12-14-2015,"285.30 ","282.99 ","286.86 ","303.02 ","286.20 "
12-11-2015,"286.20 ","283.35 ","287.11 ","302.07 ","285.30 "
12-10-2015,"289.52 ","288.73 ","293.22 ","305.70 ","288.73 "
12-09-2015,"292.09 ","288.75 ","296.47 ","306.41 ","289.40 "
12-08-2015,"294.67 ","293.01 ","297.47 ","310.47 ","293.23 "
12-07-2015,"298.64 ","293.93 ","299.81 ","316.51 ","298.94 "
12-04-2015,"296.42 ","295.46 ","299.62 ","316.50 ","298.93 "
12-03-2015,"299.71 ","293.51 ","300.27 ","312.95 ","295.58 "
12-02-2015,"304.08 ","297.51 ","304.77 ","317.46 ","299.84 "
12-01-2015,"296.68 ","295.63 ","304.59 ","322.49 ","304.59 "
11-30-2015,"301.63 ","295.10 ","302.01 ","313.89 ","296.46 "
11-27-2015,"303.23 ","300.21 ","304.01 ","319.76 ","302.01 "
11-25-2015,"295.00 ","294.40 ","303.56 ","320.26 ","302.48 "
11-24-2015,"285.23 ","284.78 ","294.99 ","311.43 ","294.14 "
11-23-2015,"289.30 ","284.32 ","291.73 ","301.72 ","284.97 "
11-20-2015,"292.97 ","289.53 ","297.70 ","312.46 ","295.11 "
11-19-2015,"287.58 ","282.83 ","291.85 ","302.05 ","285.28 "
11-18-2015,"283.79 ","281.65 ","294.21 ","310.80 ","293.55 "
11-17-2015,"284.19 ","278.91 ","284.81 ","297.32 ","280.81 "
11-16-2015,"282.91 ","279.57 ","286.37 ","298.71 ","282.13 "
11-13-2015,"283.85 ","282.58 ","288.07 ","299.63 ","283.00 "
11-12-2015,"290.26 ","283.35 ","296.75 ","300.04 ","283.38 "
