 Date,LNKD Open,LNKD Low,LNKD High,LNKD Close,LNKD Adj. Close
1/2/2015,230.74,224.26,231.39,229.65,229.65
1/5/2015,227.99,225.56,232.2,227.51,227.51
1/6/2015,227.62,214.52,228.78,219.51,219.51
1/7/2015,220.99,217.37,223.43,222.16,222.16
1/8/2015,223.59,220.77,228.72,227.05,227.05
1/9/2015,227.8,224.09,230.15,227.13,227.13
1/12/2015,226.61,221.71,229.01,223.13,223.13
1/13/2015,226.1,221.37,228.39,223,223
1/14/2015,220,218.03,224.71,219.43,219.43
1/15/2015,220,212.83,221.55,213.21,213.21
1/16/2015,213.12,209.6,217.59,214.18,214.18
1/20/2015,215.22,210.09,215.9,213.06,213.06
1/21/2015,213.39,210.31,219.58,219.2,219.2
1/22/2015,220.36,217.14,226,224.94,224.94
1/23/2015,229.49,227.1,235.37,232.22,232.22
1/26/2015,232.21,224.58,232.35,226.36,226.36
1/27/2015,222.06,219.59,224.53,222.62,222.62
1/28/2015,225.63,218.89,225.63,220.46,220.46
1/29/2015,219.89,215.73,223.67,223.04,223.04
1/30/2015,222.15,222.15,228.32,224.74,224.74
2/2/2015,225.55,219.16,226.44,224.57,224.57
2/3/2015,230.72,228,235.5,232.76,232.76
2/4/2015,232.5,228.29,234,232.03,232.03
2/5/2015,234.21,231.08,238.2,237.97,237.97
2/6/2015,262.95,261,272.96,263.4,263.4
2/9/2015,262.75,262.01,269.83,267.43,267.43
2/10/2015,268.97,268.5,274.19,269.75,269.75
2/11/2015,268.98,267.11,272,267.92,267.92
2/12/2015,268.94,265.69,271.44,267.17,267.17
2/13/2015,266.79,264.52,269.75,269,269
2/17/2015,269.63,265.25,272.94,265.75,265.75
2/18/2015,261.3,260.06,267.8,266.91,266.91
2/19/2015,265.08,264.21,268.31,266.34,266.34
2/20/2015,265.57,264.68,268.8,267.63,267.63
2/23/2015,267,263.31,271.07,264.21,264.21
2/24/2015,265.11,262.55,266.37,264.26,264.26
2/25/2015,264.39,263.9,271.43,269,269
2/26/2015,272.31,270.1,276.18,270.76,270.76
2/27/2015,269.94,266.91,271.9,267.2,267.2
3/2/2015,267.45,264.77,269.87,269.42,269.42
3/3/2015,268.67,263.79,272.55,265.54,265.54
3/4/2015,264.95,260.62,266,265.23,265.23
3/5/2015,265.25,265.25,268.98,268.34,268.34
3/6/2015,268.03,263.78,271.95,264.63,264.63
3/9/2015,264.45,263.8,267.83,267.21,267.21
3/10/2015,264.85,262,266.71,265,265
3/11/2015,265.14,263.39,268.79,264.95,264.95
3/12/2015,265.7,265.04,268.2,266.42,266.42
3/13/2015,263.63,258,263.88,259.12,259.12
3/16/2015,259.8,256,260.6,260.17,260.17
3/17/2015,254.99,254.01,260,258.71,258.71
3/18/2015,258.52,255.45,260.46,260.15,260.15
3/19/2015,259.9,258.11,263,260.58,260.58
3/20/2015,262.5,261.01,265.11,264.25,264.25
3/23/2015,264.25,260.75,264.87,261.84,261.84
3/24/2015,262.93,261.88,267.28,264.16,264.16
3/25/2015,264.18,255.04,264.61,256.05,256.05
3/26/2015,254.09,252.33,256.7,255.79,255.79
3/27/2015,256,253.81,258.05,256.71,256.71
3/30/2015,257.9,252.81,258.98,255.19,255.19
3/31/2015,254.46,249.86,255.37,249.86,249.86
4/1/2015,249.92,246.23,251.05,248.32,248.32
4/2/2015,249.71,246.88,250.28,248.82,248.82
4/6/2015,246.01,245.35,251.68,249.31,249.31
4/7/2015,248.51,248.51,253.53,249.81,249.81
4/8/2015,250.56,250.32,255.84,252.26,252.26
4/9/2015,251.02,247.65,256.5,256.14,256.14
4/10/2015,260.5,260.02,265.46,265.35,265.35
4/13/2015,264,261.63,266.53,263.16,263.16
4/14/2015,262.03,256.29,264.58,257.5,257.5
4/15/2015,258.98,256.47,259.99,257.19,257.19
4/16/2015,257.01,256.48,259.53,257.07,257.07
4/17/2015,256.25,252.28,257.06,253.75,253.75
4/20/2015,255.4,253.8,265.56,258.52,258.52
4/21/2015,260.64,257.91,262.38,258.42,258.42
4/22/2015,259.07,257.09,260.87,259.35,259.35
4/23/2015,258.46,256.06,260.13,256.24,256.24
4/24/2015,258.32,257.24,262.76,260.95,260.95
4/27/2015,262.76,259.5,264.7,260.29,260.29
4/28/2015,261.14,255.52,262.52,257.34,257.34
4/29/2015,256.03,255.25,259.14,257.15,257.15
4/30/2015,256.4,250.16,256.78,252.13,252.13
5/1/2015,206.86,198.4,209.5,205.21,205.21
5/4/2015,208.4,200.36,209.25,203.42,203.42
5/5/2015,203.29,198.64,203.42,199.83,199.83
5/6/2015,200,196.11,200.64,200.22,200.22
5/7/2015,199.82,199.01,202.94,201.41,201.41
5/8/2015,202.94,197.88,204.29,198.72,198.72
5/11/2015,199,197.33,202.65,200.26,200.26
5/12/2015,200,198,200.87,200.24,200.24
5/13/2015,200.53,195.26,200.68,196.87,196.87
5/14/2015,198.2,192.75,198.2,194.49,194.49
5/15/2015,195.02,193.2,195.94,195.66,195.66
5/18/2015,191.5,191,199,198.38,198.38
5/19/2015,197.26,193.03,197.3,194.22,194.22
5/20/2015,194.87,191.64,195,193.8,193.8
5/21/2015,194.39,193.26,197.06,197.04,197.04
5/22/2015,197.33,195.01,197.87,196.23,196.23
5/26/2015,195.98,194.5,196.91,195.79,195.79
5/27/2015,195,194.12,198,197.99,197.99
5/28/2015,198.1,196.02,198.69,196.23,196.23
5/29/2015,195.25,194.63,197.15,194.93,194.93
6/1/2015,196.13,194.93,202.91,200.77,200.77
6/2/2015,200.08,199,207.43,204.81,204.81
6/3/2015,211.24,210.32,215.46,213.25,213.25
6/4/2015,214.51,211.33,217.21,212.83,212.83
6/5/2015,215,212.17,216.93,213.8,213.8
6/8/2015,214.5,211.37,215.49,212.04,212.04
6/9/2015,212.71,211.66,219.64,216.83,216.83
6/10/2015,216.83,215.94,218.62,216.7,216.7
6/11/2015,216.96,216.36,218.28,217.95,217.95
6/12/2015,217.32,214.83,217.96,215.72,215.72
6/15/2015,215.27,213.54,217.11,215.75,215.75
6/16/2015,215.53,215.21,217.8,217.29,217.29
6/17/2015,217.98,214.02,218.63,215.91,215.91
6/18/2015,216.63,216.51,219.7,217.75,217.75
6/19/2015,218.47,215.5,218.47,216.78,216.78
6/22/2015,217.28,215.09,218.11,217.15,217.15
6/23/2015,217.11,216.22,218.27,217.31,217.31
6/24/2015,216.75,215.26,218.22,215.7,215.7
6/25/2015,215.73,215.55,218,217.89,217.89
6/26/2015,217.56,215.24,217.97,215.93,215.93
6/29/2015,210,202.75,211.04,203.55,203.55
6/30/2015,205.5,204.98,209.09,206.63,206.63
7/1/2015,208.87,206.34,209.26,207.96,207.96
7/2/2015,208,207.06,208.75,207.76,207.76
7/6/2015,205.38,205.14,209.85,209.45,209.45
7/7/2015,208.68,203.61,212.44,210.98,210.98
7/8/2015,209.23,204.78,209.75,205.37,205.37
7/9/2015,207.47,207.44,210.37,207.56,207.56
7/10/2015,211.61,208.63,212.24,209.95,209.95
7/13/2015,211.52,210.5,213.87,213.33,213.33
7/14/2015,212.83,212.59,214.48,213.88,213.88
7/15/2015,218.21,216.86,223.05,218.54,218.54
7/16/2015,220.25,218.74,221.68,219.27,219.27
7/17/2015,225.12,223.67,228.75,224.95,224.95
7/20/2015,226.54,226.2,232.5,230.56,230.56
7/21/2015,230.28,228,233.18,231.05,231.05
7/22/2015,229.72,222.77,230,224.8,224.8
