 Date,TWX Open,TWX Low,TWX High,TWX Close,TWX Adj. Close
1/2/2015,85.98,84.23,86.72,84.93,84.93
1/5/2015,84.63,83.04,84.63,83.24,83.24
1/6/2015,83.24,81.88,83.8,82.3,82.3
1/7/2015,82.73,82.06,83.83,83.17,83.17
1/8/2015,84.03,84.03,85.9,85.49,85.49
1/9/2015,85.71,83.86,85.94,84.21,84.21
1/12/2015,84.29,82.96,84.66,84.05,84.05
1/13/2015,84.28,84.06,85.82,85.16,85.16
1/14/2015,84.34,81.46,84.46,82.39,82.39
1/15/2015,82.71,81.41,82.87,82.42,82.42
1/16/2015,81.79,81.52,83.27,83.18,83.18
1/20/2015,82.05,79.07,82.41,80.35,80.35
1/21/2015,80.11,79.9,81.08,80.73,80.73
1/22/2015,81.1,80.4,82.18,81.72,81.72
1/23/2015,81.39,79.92,81.65,79.97,79.97
1/26/2015,80.01,79.64,81.02,80.97,80.97
1/27/2015,80.12,79.84,81.47,80.64,80.64
1/28/2015,80.88,78.82,80.98,78.89,78.89
1/29/2015,78.89,77.89,80.12,79.73,79.73
1/30/2015,79.23,77.68,79.67,77.93,77.93
2/2/2015,77.93,76.94,78.67,78.59,78.59
2/3/2015,78.9,78.89,80.42,80.33,80.33
2/4/2015,80.47,79.66,81.14,80.14,80.14
2/5/2015,79.92,78.55,80.07,79.98,79.98
2/6/2015,80.2,79.99,81.06,80.38,80.38
2/9/2015,80.05,79.91,81.18,80.54,80.54
2/10/2015,80.76,80.26,81.41,80.81,80.81
2/11/2015,81.26,79.7,82.12,81.01,81.01
2/12/2015,81.91,80.9,83.33,83.31,83.31
2/13/2015,83,82.94,84.14,83.87,83.87
2/17/2015,83.27,83.16,84.33,84.08,84.08
2/18/2015,83.65,82.8,84,83.58,83.58
2/19/2015,83.51,83.26,84.09,83.92,83.92
2/20/2015,83.84,83.43,84.6,84.53,84.53
2/23/2015,84.47,83.52,84.74,83.77,83.77
2/24/2015,83.6,83.55,84.46,83.62,83.62
2/25/2015,83.43,82.45,83.86,82.49,82.49
2/26/2015,82.43,82.06,83.55,82.42,82.42
2/27/2015,82.85,81.43,82.95,81.86,81.86
3/2/2015,81.65,81.63,83.02,82.77,82.77
3/3/2015,82.31,82.17,83.31,83.16,83.16
3/4/2015,82.86,82.34,83.8,83.08,83.08
3/5/2015,83.6,83.2,83.79,83.26,83.26
3/6/2015,83.21,82.95,84.33,84.12,84.12
3/9/2015,84,83.95,85.57,85.2,85.2
3/10/2015,84.53,83.34,84.71,83.38,83.38
3/11/2015,83.24,82.84,83.56,82.94,82.94
3/12/2015,83.47,83.47,84.7,84.57,84.57
3/13/2015,84.43,83.44,84.51,84.09,84.09
3/16/2015,84.43,84.16,85.49,85.45,85.45
3/17/2015,84.73,84.16,86.09,85.76,85.76
3/18/2015,85.86,85.19,87.52,87.2,87.2
3/19/2015,86.79,86.43,87,86.83,86.83
3/20/2015,87.61,87.16,87.91,87.89,87.89
3/23/2015,87.75,87.07,88.25,87.08,87.08
3/24/2015,86.76,86.09,87,86.34,86.34
3/25/2015,86.24,85.06,86.31,85.17,85.17
3/26/2015,84.62,84.14,85.16,84.73,84.73
3/27/2015,84.7,84.66,85.54,85.11,85.11
3/30/2015,85.68,85.24,86.12,85.3,85.3
3/31/2015,85.16,84.19,85.46,84.44,84.44
4/1/2015,84.09,82.17,84.41,82.8,82.8
4/2/2015,82.75,82.6,85.16,85,85
4/6/2015,84.52,84.16,85.68,85.28,85.28
4/7/2015,85.26,85.14,85.96,85.31,85.31
4/8/2015,85.68,84.9,86.44,85.18,85.18
4/9/2015,85.22,84.83,85.82,85.61,85.61
4/10/2015,85.02,84.54,85.68,85.49,85.49
4/13/2015,85.63,84.48,86.03,84.51,84.51
4/14/2015,84.43,84,85.14,84.4,84.4
4/15/2015,84.57,84.5,85.26,84.93,84.93
4/16/2015,84.72,84.24,85.34,84.62,84.62
4/17/2015,84.09,82.86,84.09,83.4,83.4
4/20/2015,83.71,83.63,84.55,84.07,84.07
