" Date","TYC Open","TYC Low","TYC High","TYC Close","TYC Adj. Close"
09-02-2016,"45.49 ","45.32 ","46.06 ","45.59 ","45.59 "
09-01-2016,"43.73 ","43.73 ","45.01 ","45.01 ","45.01 "
08-31-2016,"43.82 ","43.56 ","44.52 ","43.68 ","43.68 "
08-30-2016,"44.35 ","43.93 ","44.35 ","44.00 ","44.00 "
08-29-2016,"43.73 ","43.73 ","44.40 ","44.28 ","44.28 "
08-26-2016,"44.12 ","43.69 ","44.39 ","43.70 ","43.70 "
08-25-2016,"44.06 ","43.99 ","44.41 ","44.12 ","44.12 "
08-24-2016,"44.96 ","43.85 ","45.15 ","44.17 ","44.17 "
08-23-2016,"44.55 ","44.51 ","45.45 ","45.12 ","45.12 "
08-22-2016,"44.79 ","44.21 ","44.95 ","44.34 ","44.34 "
08-19-2016,"44.77 ","44.62 ","45.20 ","44.96 ","44.96 "
08-18-2016,"44.18 ","44.05 ","44.92 ","44.91 ","44.91 "
08-17-2016,"43.92 ","43.57 ","44.21 ","44.18 ","44.18 "
08-16-2016,"44.10 ","43.51 ","44.28 ","43.96 ","43.96 "
08-15-2016,"43.84 ","43.72 ","44.24 ","44.15 ","44.15 "
08-12-2016,"44.38 ","43.59 ","44.38 ","43.81 ","43.81 "
08-11-2016,"44.72 ","44.18 ","44.80 ","44.49 ","44.49 "
08-10-2016,"44.69 ","44.49 ","44.84 ","44.68 ","44.68 "
08-09-2016,"45.30 ","44.53 ","45.30 ","44.73 ","44.73 "
08-08-2016,"45.37 ","45.07 ","45.63 ","45.17 ","45.17 "
08-05-2016,"44.87 ","44.85 ","45.37 ","45.32 ","45.32 "
08-04-2016,"45.04 ","44.39 ","45.15 ","44.62 ","44.62 "
08-03-2016,"44.63 ","44.26 ","44.95 ","44.95 ","44.95 "
08-02-2016,"45.38 ","44.53 ","45.46 ","45.01 ","44.78 "
08-01-2016,"45.34 ","44.98 ","45.95 ","45.76 ","45.53 "
07-29-2016,"44.78 ","44.76 ","45.52 ","45.57 ","45.34 "
07-28-2016,"45.30 ","44.64 ","45.30 ","45.41 ","45.18 "
07-27-2016,"45.38 ","45.32 ","45.90 ","45.74 ","45.51 "
07-26-2016,"44.97 ","44.97 ","45.49 ","45.58 ","45.35 "
07-25-2016,"45.51 ","44.76 ","45.51 ","45.17 ","44.94 "
07-22-2016,"44.29 ","44.11 ","45.57 ","45.76 ","45.53 "
07-21-2016,"43.03 ","43.03 ","45.45 ","44.60 ","44.37 "
07-20-2016,"42.82 ","42.65 ","43.09 ","43.23 ","43.01 "
07-19-2016,"42.72 ","42.55 ","42.88 ","43.21 ","42.79 "
07-18-2016,"42.93 ","42.59 ","42.94 ","43.15 ","42.73 "
07-15-2016,"43.05 ","42.53 ","43.08 ","43.19 ","42.77 "
07-14-2016,"43.30 ","42.90 ","43.53 ","43.34 ","42.92 "
07-13-2016,"42.70 ","42.41 ","42.99 ","43.31 ","42.89 "
07-12-2016,"42.82 ","42.60 ","43.04 ","43.10 ","42.68 "
07-11-2016,"42.55 ","42.41 ","42.82 ","42.96 ","42.54 "
07-08-2016,"41.57 ","39.93 ","42.41 ","42.77 ","42.35 "
07-07-2016,"41.15 ","40.76 ","41.48 ","41.73 ","41.32 "
07-06-2016,"40.98 ","40.47 ","41.20 ","41.56 ","41.15 "
07-05-2016,"42.32 ","41.12 ","42.32 ","41.59 ","41.18 "
07-01-2016,"42.32 ","42.18 ","42.92 ","42.88 ","42.46 "
06-30-2016,"41.49 ","41.49 ","42.48 ","42.60 ","42.18 "
06-29-2016,"41.19 ","40.83 ","41.42 ","41.70 ","41.29 "
06-28-2016,"40.23 ","39.61 ","40.61 ","40.94 ","40.54 "
06-27-2016,"40.75 ","39.42 ","40.80 ","40.22 ","39.83 "
06-24-2016,"41.98 ","41.04 ","42.33 ","41.60 ","41.19 "
06-23-2016,"43.49 ","43.32 ","43.55 ","43.97 ","43.54 "
06-22-2016,"42.83 ","42.67 ","43.14 ","43.47 ","43.04 "
06-21-2016,"42.78 ","42.63 ","43.02 ","43.18 ","42.76 "
06-20-2016,"43.04 ","42.68 ","43.35 ","43.16 ","42.74 "
06-17-2016,"42.83 ","42.39 ","42.85 ","42.99 ","42.57 "
06-16-2016,"42.47 ","42.12 ","42.91 ","43.24 ","42.82 "
06-15-2016,"42.96 ","42.57 ","43.06 ","43.05 ","42.63 "
06-14-2016,"42.83 ","42.59 ","43.14 ","43.30 ","42.88 "
06-13-2016,"43.03 ","42.86 ","43.36 ","43.30 ","42.88 "
06-10-2016,"43.00 ","42.84 ","43.41 ","43.49 ","43.06 "
06-09-2016,"42.72 ","42.60 ","43.33 ","43.69 ","43.26 "
06-08-2016,"43.04 ","42.90 ","43.24 ","43.44 ","43.01 "
06-07-2016,"43.00 ","42.94 ","43.23 ","43.42 ","43.00 "
06-06-2016,"42.99 ","42.69 ","43.12 ","43.32 ","42.90 "
06-03-2016,"42.98 ","42.48 ","43.01 ","43.26 ","42.84 "
06-02-2016,"42.78 ","42.53 ","43.07 ","43.44 ","43.01 "
06-01-2016,"41.95 ","41.67 ","42.85 ","43.24 ","42.82 "
05-31-2016,"42.32 ","41.97 ","42.44 ","42.62 ","42.20 "
05-27-2016,"42.17 ","42.12 ","42.42 ","42.68 ","42.26 "
05-26-2016,"42.57 ","42.07 ","42.64 ","42.63 ","42.21 "
05-25-2016,"42.00 ","41.97 ","42.57 ","42.69 ","42.27 "
05-24-2016,"40.97 ","40.89 ","42.01 ","42.35 ","41.94 "
05-23-2016,"40.76 ","40.53 ","41.05 ","41.19 ","40.79 "
05-20-2016,"40.20 ","40.19 ","40.77 ","41.13 ","40.73 "
05-19-2016,"39.57 ","39.38 ","40.11 ","40.35 ","39.96 "
05-18-2016,"39.53 ","39.28 ","40.21 ","40.20 ","39.81 "
05-17-2016,"39.68 ","39.26 ","40.14 ","40.12 ","39.73 "
05-16-2016,"38.07 ","37.85 ","40.01 ","40.23 ","39.84 "
05-13-2016,"38.22 ","37.81 ","38.80 ","38.37 ","37.99 "
05-12-2016,"38.10 ","37.99 ","38.67 ","38.70 ","38.32 "
05-11-2016,"38.00 ","37.71 ","38.30 ","38.48 ","38.10 "
05-10-2016,"37.45 ","37.33 ","38.00 ","38.28 ","37.91 "
05-09-2016,"37.08 ","37.04 ","37.43 ","37.68 ","37.31 "
05-06-2016,"36.56 ","36.36 ","37.35 ","37.66 ","37.29 "
05-05-2016,"36.97 ","36.85 ","37.40 ","37.24 ","36.88 "
05-04-2016,"37.23 ","36.62 ","37.42 ","37.33 ","36.96 "
05-03-2016,"37.66 ","36.96 ","37.66 ","37.79 ","37.42 "
05-02-2016,"38.28 ","37.82 ","38.45 ","38.32 ","37.94 "
04-29-2016,"38.51 ","37.80 ","38.54 ","38.52 ","38.14 "
04-28-2016,"38.96 ","38.83 ","39.72 ","39.40 ","39.01 "
04-27-2016,"39.05 ","39.00 ","39.52 ","39.72 ","39.33 "
04-26-2016,"38.77 ","38.77 ","39.25 ","39.44 ","39.05 "
04-25-2016,"38.77 ","38.50 ","38.80 ","39.14 ","38.76 "
04-22-2016,"38.35 ","38.33 ","39.12 ","39.19 ","38.81 "
04-21-2016,"36.84 ","36.72 ","38.76 ","38.84 ","38.46 "
04-20-2016,"36.29 ","35.93 ","36.49 ","36.66 ","36.30 "
04-19-2016,"36.54 ","36.17 ","36.76 ","36.73 ","36.17 "
04-18-2016,"36.12 ","35.97 ","36.57 ","36.95 ","36.38 "
04-15-2016,"36.51 ","36.10 ","36.58 ","36.79 ","36.23 "
04-14-2016,"36.19 ","35.99 ","36.49 ","37.03 ","36.46 "
04-13-2016,"35.54 ","35.48 ","36.25 ","36.71 ","36.15 "
04-12-2016,"35.12 ","35.12 ","35.72 ","35.97 ","35.42 "
04-11-2016,"34.92 ","34.92 ","35.38 ","35.64 ","35.09 "
04-08-2016,"34.81 ","34.79 ","35.40 ","35.42 ","34.88 "
04-07-2016,"34.60 ","34.23 ","34.94 ","35.05 ","34.51 "
